Id,SalePrice
1461,123819.0
1462,160087.0
1463,183056.0
1464,194930.0
1465,191801.0
1466,174434.0
1467,174993.0
1468,163805.0
1469,184110.0
1470,125126.0
1471,205409.0
1472,97263.0
1473,90711.0
1474,150778.0
1475,120520.0
1476,370686.0
1477,255706.0
1478,278589.0
1479,281760.0
1480,468874.0
1481,319151.0
1482,205618.0
1483,167903.0
1484,168342.0
1485,185271.0
1486,198282.0
1487,335310.0
1488,238882.0
1489,196049.0
1490,218803.0
1491,190350.0
1492,92422.0
1493,170020.0
1494,300173.0
1495,292732.0
1496,231117.0
1497,180142.0
1498,160299.0
1499,161202.0
1500,155102.0
1501,171215.0
1502,144689.0
1503,289935.0
1504,238185.0
1505,221388.0
1506,186264.0
1507,245469.0
1508,202778.0
1509,164689.0
1510,143004.0
1511,145167.0
1512,165769.0
1513,141055.0
1514,162219.0
1515,190211.0
1516,152706.0
1517,163773.0
1518,129254.0
1519,221605.0
1520,132849.0
1521,136218.0
1522,178223.0
1523,114883.0
1524,126880.0
1525,125939.0
1526,113191.0
1527,97862.0
1528,142148.0
1529,151961.0
1530,169307.0
1531,113253.0
1532,97270.0
1533,142371.0
1534,120791.0
1535,158712.0
1536,107396.0
1537,62282.0
1538,155565.0
1539,206216.0
1540,87150.0
1541,143096.0
1542,138487.0
1543,200451.0
1544,79206.0
1545,108792.0
1546,132318.0
1547,127974.0
1548,134672.0
1549,109231.0
1550,132570.0
1551,114526.0
1552,139368.0
1553,150942.0
1554,116939.0
1555,169823.0
1556,81007.0
1557,111019.0
1558,102968.0
1559,80616.0
1560,137918.0
1561,130972.0
1562,130711.0
1563,123020.0
1564,164176.0
1565,149259.0
1566,243869.0
1567,74763.0
1568,235459.0
1569,121502.0
1570,136289.0
1571,129155.0
1572,145855.0
1573,232092.0
1574,107541.0
1575,225361.0
1576,238283.0
1577,186820.0
1578,141399.0
1579,147542.0
1580,194235.0
1581,149453.0
1582,128677.0
1583,334056.0
1584,225755.0
1585,139698.0
1586,67169.0
1587,92863.0
1588,143903.0
1589,101066.0
1590,132107.0
1591,93925.0
1592,122025.0
1593,127945.0
1594,138661.0
1595,106947.0
1596,240591.0
1597,189030.0
